Species,feed_mode,Max_TL_cm,simul
Albula_vulpes,suction,104,1
Anguilla_anguilla,suction,50,2
Anguilla_bicolor,suction,120,3
Anguilla_japonica,suction,150,1
Anguilla_rostrata,suction,152,2
Ariosoma_anago,suction,60,1
Ariosoma_balearicum,suction,35,3
Ariosoma_shiroanago,suction,40,1
Bathyuroconger_vicinus,bite,88,2
Brachysomophis_crocodilinus,bite,120,2
Conger_japonicus,suction,140,2
Conger_myriaster,suction,100,1
Conger_verreaxi,suction,200,2
Conger_wilsoni,suction,150,3
Congresox_talabonoides,suction,250,1
Cynoponticus_ferox,bite,200,3
Dysomma_anguillare,bite,52,3
Elops_saurus,suction,100,2
Facciolella_gilbertii,bite,61,1
Gavialiceps_taeniola,bite,64.7,1
Gnathophis_longicauda,suction,38.6,3
Gorgasia_taiwanensis,suction,74.1,1
Gymnothorax_castaneus,bite,150,3
Gymnothorax_flavimarginatus,bite,240,2
Gymnothorax_kidako,bite,91.5,3
Gymnothorax_moringa,bite,200,2
Gymnothorax_pseudothyrsoideus,bite,80,2
Gymnothorax_reticularis,bite,60,2
Heteroconger_hassi,suction,40,1
Ichthyapus_ophioneus,bite,45,3
Kaupichthys_hyoproroides,bite,30,2
Kaupichthys_nuchalis,bite,16,2
Megalops_cyprinoides,suction,150,2
Moringua_edwardsi,bite,15,1
Moringua_javanica,bite,120,3
Muraenesox_bagio,bite,200,3
Muraenesox_cinereus,bite,220,3
Myrichthys_breviceps,suction,102,2
Myrichthys_maculosus,suction,100,2
Myrichthys_magnificus,suction,78,2
Myrophis_vafer,bite,46,3
Nemichthys_scolopaceus,bite,130,2
Nettastoma_melanurum,bite,77.3,3
Ophichthus_serpentinus,suction,68,2
Ophichthus_zophochir,suction,88,3
Oxyconger_leptognathus,bite,60,3
Parabathymyrus_macrophthalmus,suction,47,3
Paraconger_notialis,suction,62.7,3
Pisodonophis_cancrivorus,bite,108,1
Poeciloconger_kapala,suction,60,3
Rhinomuraena_quaesita,bite,130,1
Rhynchoconger_flavus,suction,150,3
Saurenchelys_fierasfer,bite,50,2
Scolecenchelys_breviceps,suction,60,1
Scuticaria_tigrina,bite,120,1
Serrivomer_beanii,bite,78,3
Serrivomer_sector,bite,76,1
Simenchelys_parasitica,suction,61,2
Uroconger_lepturus,suction,52,2
Uropterygius_micropterus,bite,30,1
Venefica_proboscidea,bite,100,3
